Target_Class,Target,Trial_Number,Trial_Date,Ine_Duration_Sec,Ine_Prptn_Total_Sec,Joh_Duration_Sec,Joh_Prptn_Total_Sec
Light,Full_Shade,3,31-Mar-06,177,0.064811424,471,0.172464299
Light,Part_Shade,3,31-Mar-06,522,0.191138777,573,0.209813255
Light,Small_Gap,3,31-Mar-06,752,0.275357012,717,0.262541194
Light,Large_Gap,3,31-Mar-06,37,0.013548151,135,0.049432442
Light,Light_Unk,3,31-Mar-06,1243,0.455144636,835,0.30574881
Weather,Clear,4,2-May-06,0,0,0,0
Weather,Sun/Cloud,4,2-May-06,7345,0.743270593,0,0
Weather,Cloud,4,2-May-06,2537,0.256729407,9882,1
Weather,Rain,4,2-May-06,0,0,0,0
Weather,WeatherUnk,4,2-May-06,0,0,0,0
Ad_Scan,Ad_5,4,2-May-06,7345,0.743270593,6841,0.692268772
Ad_Scan,Ad_1,4,2-May-06,0,0,3041,0.307731228
Ad_Scan,Ad_Unk,4,2-May-06,2537,0.256729407,0,0
Jv_Scan,Jv_Far,4,2-May-06,0,0,0,0
Jv_Scan,Jv_10,4,2-May-06,0,0,0,0
Jv_Scan,Jv_5,4,2-May-06,7345,0.743270593,6841,0.692268772
Jv_Scan,Jv_1,4,2-May-06,0,0,3041,0.307731228
Jv_Scan,Jv_Contact,4,2-May-06,0,0,0,0
Jv_Scan,Jv_Unk,4,2-May-06,2537,0.256729407,0,0
InfCarr,InfCarrTRUE,4,2-May-06,0,0,0,0
Behav,Rest,4,2-May-06,5581,0.564764218,5563,0.562942724
Behav,OOV,4,2-May-06,4301,0.435235782,4319,0.437057276
Height,Height_1,4,2-May-06,0,0,0,0
Height,Height_5,4,2-May-06,0,0,0,0
Height,Height_10,4,2-May-06,3044,0.308034811,3041,0.307731228
Height,Height_20,4,2-May-06,2537,0.256729407,2522,0.255211496
Height,Height_High,4,2-May-06,0,0,0,0
Height,Height_Unk,4,2-May-06,4301,0.435235782,4319,0.437057276
Light,Full_Shade,4,2-May-06,0,0,3041,0.307731228
Light,Part_Shade,4,2-May-06,0,0,2522,0.255211496
Light,Small_Gap,4,2-May-06,0,0,0,0
Light,Large_Gap,4,2-May-06,0,0,0,0
Light,Light_Unk,4,2-May-06,9882,1,4319,0.437057276
Weather,Clear,5,2-Jun-06,0,0,0,0
Weather,Sun/Cloud,5,2-Jun-06,4299,1,4299,1
Weather,Cloud,5,2-Jun-06,0,0,0,0
Weather,Rain,5,2-Jun-06,0,0,0,0
Weather,WeatherUnk,5,2-Jun-06,0,0,0,0
Ad_Scan,Ad_10,5,2-Jun-06,1538,0.357757618,1426,0.331705048
Ad_Scan,Ad_5,5,2-Jun-06,2639,0.613863689,2725,0.633868341
Ad_Scan,Ad_Unk,5,2-Jun-06,122,0.028378693,148,0.034426611
Jv_Scan,Jv_Far,5,2-Jun-06,0,0,0,0
Jv_Scan,Jv_10,5,2-Jun-06,936,0.217725052,832,0.19353338
Jv_Scan,Jv_5,5,2-Jun-06,3241,0.753896255,3319,0.772040009
Jv_Scan,Jv_1,5,2-Jun-06,0,0,0,0
Jv_Scan,Jv_Contact,5,2-Jun-06,0,0,0,0
Jv_Scan,Jv_Unk,5,2-Jun-06,122,0.028378693,148,0.034426611
InfCarr,InfCarrTRUE,5,2-Jun-06,0,0,0,0
Behav,Travel,5,2-Jun-06,1195,0.277971621,1124,0.261456153
Behav,Forage,5,2-Jun-06,1121,0.260758316,1097,0.255175622
Behav,Social,5,2-Jun-06,16,0.003721796,0,0
Behav,Rest,5,2-Jun-06,1967,0.457548267,2078,0.483368225
Height,Height_1,5,2-Jun-06,0,0,0,0
