bin.fit1.0.1bins,bin.resid1,bin.fit2.every5,bin.resid2,bin.fit3.every10,bin.resid3
0,-0.072051499,0.019149523,-0.136001204,0.024578566,-0.154583291
0.1,-0.07378216,0.03000761,-0.173165378,0.045574641,-0.213076257
0.2,-0.044898379,0.04076355,-0.201855808,0.064974237,0.150493321
0.3,0.087635892,0.050385733,-0.224296706,0.076618768,0.092651544
0.4,-0.373161377,0.06226054,0.561143022,0.097758183,-0.312437363
0.5,0.478298918,0.067687934,-0.26015638,0.129669468,-0.097190319
0.6,0.088910256,0.072829235,0.468797628,0.169771296,0.317735879
0.7,-0.532387086,0.0804083,-0.28349454,0.19526774,-0.219649649
0.8,0.166420432,0.091829282,-0.302954162,0.226129908,-0.26567715
0.9,0.80702966,0.103687085,-0.321920564,0.254098603,-0.109033481
1,-0.028407385,0.117876021,-0.343284456,0.277952451,0.04915163
1.1,-0.13818644,0.141462915,0.148903818,0.316570206,-0.030100788
1.2,-0.20835163,0.161271665,1.057682124,0.360922783,0.063999702
1.3,1.39050576,0.178270927,-0.422210366,0.408684932,-0.001188752
1.4,-0.09541144,0.19011824,-0.436009318,0.473043196,-0.110285146
1.5,1.22014258,0.20041724,-0.00328998,0.529684319,0.509618612
1.7,-0.323615323,0.220338464,-0.469370484,0.578354895,0.033039616
1.9,-1.40705505,0.231921352,-0.061983816,0.692299428,-0.107778559
2,-0.744446495,0.250638854,-0.500621358,0.821293274,0.072873279
2.1,-0.76911445,0.257558351,0.282554396,1.065458666,0.247270508
2.3,-0.23851418,0.267012551,0.263134496,1.747591962,-0.082821633
,,0.288892351,-0.164831236,,
,,0.311040653,-0.20132435,,
,,0.32209976,0.141122774,,
,,0.352262337,0.079280468,,
,,0.369583228,0.048718936,,
,,0.385419228,0.352504772,,
,,0.431950637,-0.354882276,,
,,0.459223405,-0.081995178,,
,,0.486862988,-0.138575114,,
,,0.52138686,0.659697558,,
,,0.537981777,0.359539666,,
,,0.556015256,0.322663366,,
,,0.600694534,-0.256584134,,
,,0.676750326,0.386710976,,
,,0.70784853,-0.602268094,,
,,0.777947479,-0.2112117,,
,,0.864639069,0.356958258,,
,,0.994446566,0.817486524,,
,,1.136470765,-0.322945508,,
,,1.412047118,0.49895544,,
,,1.753234437,-0.231551688,,
,,2.159969923,-0.624130405,,
